Year,Value,Units,Series
2015,2.9,pct.,Total unemployment out of total labour force (national estimate) (%)
2016,3.2,pct.,Total unemployment out of total labour force (national estimate) (%)
2017,2.5,pct.,Total unemployment out of total labour force (national estimate) (%)
2018,1.5,pct.,Total unemployment out of total labour force (national estimate) (%)
2019,0.9,pct.,Total unemployment out of total labour force (national estimate) (%)
2020,1.5,pct.,Total unemployment out of total labour force (national estimate) (%)
2021,1.3,pct.,Total unemployment out of total labour force (national estimate) (%)
2022,1.9,pct.,Total unemployment out of total labour force (national estimate) (%)
2023,1.5,pct.,Total unemployment out of total labour force (national estimate) (%)
2024,1.4,pct.,Total unemployment out of total labour force (national estimate) (%)
2025,1.0,pct.,Total unemployment out of total labour force (national estimate) (%)
