Year,Value,Units,Series
2009,3.8,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
2010,3.6,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
2011,3.9,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
2012,4.2,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
2013,4.2,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
2014,4.0,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
2015,3.8,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
2016,3.4,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
2017,3.3,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
2018,3.0,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
2019,2.7,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
2020,2.4,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
2021,2.7,pct.,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
