Year,Value,Units,Series
1985,12.1951219512195,In number,"Mortality rate 0-4 years per 1,000 live births"
1986,8.89453621346887,In number,"Mortality rate 0-4 years per 1,000 live births"
1987,11.5681233933162,In number,"Mortality rate 0-4 years per 1,000 live births"
1988,19.6531791907515,In number,"Mortality rate 0-4 years per 1,000 live births"
1989,19.3965517241379,In number,"Mortality rate 0-4 years per 1,000 live births"
1990,9.55414012738854,In number,"Mortality rate 0-4 years per 1,000 live births"
1991,11.6009280742459,In number,"Mortality rate 0-4 years per 1,000 live births"
1992,11.2079701120797,In number,"Mortality rate 0-4 years per 1,000 live births"
1993,9.22266139657444,In number,"Mortality rate 0-4 years per 1,000 live births"
1994,12.012012012012,In number,"Mortality rate 0-4 years per 1,000 live births"
1995,7.7639751552795,In number,"Mortality rate 0-4 years per 1,000 live births"
1996,8.91530460624071,In number,"Mortality rate 0-4 years per 1,000 live births"
1997,4.53172205438067,In number,"Mortality rate 0-4 years per 1,000 live births"
1998,0.0,In number,"Mortality rate 0-4 years per 1,000 live births"
1999,6.38977635782748,In number,"Mortality rate 0-4 years per 1,000 live births"
2000,2.89017341040462,In number,"Mortality rate 0-4 years per 1,000 live births"
2001,4.74683544303798,In number,"Mortality rate 0-4 years per 1,000 live births"
2002,4.23131170662906,In number,"Mortality rate 0-4 years per 1,000 live births"
2003,1.41843971631206,In number,"Mortality rate 0-4 years per 1,000 live births"
2004,4.20757363253857,In number,"Mortality rate 0-4 years per 1,000 live births"
2005,9.84528832630098,In number,"Mortality rate 0-4 years per 1,000 live births"
2006,12.0845921450151,In number,"Mortality rate 0-4 years per 1,000 live births"
2007,8.90207715133531,In number,"Mortality rate 0-4 years per 1,000 live births"
2008,4.50450450450451,In number,"Mortality rate 0-4 years per 1,000 live births"
2009,4.87012987012987,In number,"Mortality rate 0-4 years per 1,000 live births"
2010,4.6801872074883,In number,"Mortality rate 0-4 years per 1,000 live births"
2011,6.96864111498258,In number,"Mortality rate 0-4 years per 1,000 live births"
2012,17.7993527508091,In number,"Mortality rate 0-4 years per 1,000 live births"
2013,0.0,In number,"Mortality rate 0-4 years per 1,000 live births"
2014,7.82472613458529,In number,"Mortality rate 0-4 years per 1,000 live births"
2015,6.6006600660066,In number,"Mortality rate 0-4 years per 1,000 live births"
2016,4.46428571428571,In number,"Mortality rate 0-4 years per 1,000 live births"
2017,9.14634146341463,In number,"Mortality rate 0-4 years per 1,000 live births"
2018,0.0,In number,"Mortality rate 0-4 years per 1,000 live births"
2019,4.39882697947214,In number,"Mortality rate 0-4 years per 1,000 live births"
2020,1.47492625368732,In number,"Mortality rate 0-4 years per 1,000 live births"
2021,2.92825768667643,In number,"Mortality rate 0-4 years per 1,000 live births"
2022,11.0935023771791,In number,"Mortality rate 0-4 years per 1,000 live births"
1985,12.1951219512195,,
1986,8.89453621346887,,
1987,11.5681233933162,,
1988,19.6531791907514,,
1989,19.3965517241379,,
1990,9.55414012738854,,
1991,11.6009280742459,,
1992,11.2079701120797,,
1993,9.22266139657444,,
1994,12.012012012012,,
1995,7.7639751552795,,
1996,8.91530460624071,,
1997,4.53172205438066,,
1998,0.0,,
1999,6.38977635782748,,
2000,2.89017341040462,,
2001,4.74683544303798,,
2002,4.23131170662905,,
2003,1.41843971631206,,
2004,4.20757363253857,,
2005,9.84528832630098,,
2006,12.0845921450151,,
2007,8.90207715133531,,
2008,4.5045045045045,,
2009,4.87012987012987,,
2010,4.6801872074883,,
2011,6.96864111498258,,
2012,17.7993527508091,,
2013,0.0,,
2014,7.82472613458529,,
2015,6.6006600660066,,
2016,4.46428571428571,,
2017,9.14634146341463,,
2018,0.0,,
2019,4.39882697947214,,
2020,1.47492625368732,,
2021,2.92825768667643,,
2022,11.0935023771791,,
