Year,Value,Units,Series
1986,0.043944936993947,In number,"Number of new HIV infections per 1,000 uninfected population"
1987,0.065277702224882,In number,"Number of new HIV infections per 1,000 uninfected population"
1988,0.021476971317505,In number,"Number of new HIV infections per 1,000 uninfected population"
1989,0.021173207423327,In number,"Number of new HIV infections per 1,000 uninfected population"
1990,0.062926721832426,In number,"Number of new HIV infections per 1,000 uninfected population"
1991,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
1992,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
1993,0.085159834364122,In number,"Number of new HIV infections per 1,000 uninfected population"
1994,0.021739603034849,In number,"Number of new HIV infections per 1,000 uninfected population"
1995,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
1996,0.022996699973554,In number,"Number of new HIV infections per 1,000 uninfected population"
1997,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
1998,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
1999,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
2000,0.022196080172242,In number,"Number of new HIV infections per 1,000 uninfected population"
2001,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
2002,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
2003,0.0211420960274,In number,"Number of new HIV infections per 1,000 uninfected population"
2004,0.041751474348938,In number,"Number of new HIV infections per 1,000 uninfected population"
2005,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
2006,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
2007,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
2008,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
2009,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
2010,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
2011,0.020631105517789,In number,"Number of new HIV infections per 1,000 uninfected population"
2012,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
2013,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
2014,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
2015,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
2016,0.020462870122163,In number,"Number of new HIV infections per 1,000 uninfected population"
2017,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
2018,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
2019,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
2020,0.0,In number,"Number of new HIV infections per 1,000 uninfected population"
2021,0.038095600910485,In number,"Number of new HIV infections per 1,000 uninfected population"
