Year,Value,Units,Series
2000,3.65506,pct.,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)"
2000,3.42459,pct.,"Average tariff applied by developed countries, preferential status, by type of product (%)"
2005,3.6273,pct.,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)"
2005,1.99135,pct.,"Average tariff applied by developed countries, preferential status, by type of product (%)"
2010,3.63485,pct.,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)"
2010,1.99218,pct.,"Average tariff applied by developed countries, preferential status, by type of product (%)"
2011,3.70643,pct.,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)"
2011,2.01586,pct.,"Average tariff applied by developed countries, preferential status, by type of product (%)"
2012,3.77731,pct.,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)"
2012,2.33854,pct.,"Average tariff applied by developed countries, preferential status, by type of product (%)"
2013,3.50824,pct.,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)"
2013,2.23448,pct.,"Average tariff applied by developed countries, preferential status, by type of product (%)"
2014,3.5094,pct.,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)"
2014,2.23841,pct.,"Average tariff applied by developed countries, preferential status, by type of product (%)"
2015,3.51769,pct.,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)"
2015,2.2445,pct.,"Average tariff applied by developed countries, preferential status, by type of product (%)"
2016,3.74558,pct.,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)"
2016,2.27181,pct.,"Average tariff applied by developed countries, preferential status, by type of product (%)"
2017,3.41307,pct.,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)"
2017,1.86034,pct.,"Average tariff applied by developed countries, preferential status, by type of product (%)"
2018,3.41989,pct.,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)"
2018,1.86302,pct.,"Average tariff applied by developed countries, preferential status, by type of product (%)"
2019,3.42533,pct.,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)"
2019,1.86288,pct.,"Average tariff applied by developed countries, preferential status, by type of product (%)"
2020,3.61779,pct.,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)"
2020,1.90099,pct.,"Average tariff applied by developed countries, preferential status, by type of product (%)"
2021,3.60495,pct.,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)"
2021,1.90874,pct.,"Average tariff applied by developed countries, preferential status, by type of product (%)"
