Year,Value,Units,Series
1998,57.9327368259905,pct.,Proportion of total government spending
1999,59.0791532602041,pct.,Proportion of total government spending
2000,57.4425414330342,pct.,Proportion of total government spending
2001,57.686316104582,pct.,Proportion of total government spending
2002,57.595412829352,pct.,Proportion of total government spending
2003,59.758717493869,pct.,Proportion of total government spending
2004,59.6353850736043,pct.,Proportion of total government spending
2005,61.0903106995563,pct.,Proportion of total government spending
2006,60.4749009823648,pct.,Proportion of total government spending
2007,61.983232652845,pct.,Proportion of total government spending
2008,62.6495998388496,pct.,Proportion of total government spending
2009,65.4307791615846,pct.,Proportion of total government spending
2010,67.4228703921674,pct.,Proportion of total government spending
2011,66.5579057067,pct.,Proportion of total government spending
2012,65.2055485230558,pct.,Proportion of total government spending
2013,64.1417331765973,pct.,Proportion of total government spending
2014,64.5460380147189,pct.,Proportion of total government spending
2015,63.8642966717478,pct.,Proportion of total government spending
2016,63.75930238174,pct.,Proportion of total government spending
2017,62.6383111632433,pct.,Proportion of total government spending
2018,61.0880099757715,pct.,Proportion of total government spending
2019,60.7495405493263,pct.,Proportion of total government spending
2020,61.6813480576337,pct.,Proportion of total government spending
2021,62.5078928869652,pct.,Proportion of total government spending
2022,61.9143356996597,pct.,Proportion of total government spending
2023,60.3946672935885,pct.,Proportion of total government spending
2024,61.311630741748,pct.,Proportion of total government spending
