Year,Value,Units,Series
2000,704.756831146922,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2001,694.224272704413,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2002,682.30414647512,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2003,713.2058316682,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2004,704.219470948076,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2005,740.5256882160819,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2006,740.7330581426701,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2007,741.009732107655,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2008,739.605447108165,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2009,736.9952635000569,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2010,735.6061386342569,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2011,736.919219538368,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2012,991.833059031767,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2013,995.9670713454179,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2014,1239.91180630668,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2015,1238.92341257122,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2016,1220.42851147031,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2017,1205.67949677393,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2018,1118.26026235722,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2019,1036.35398438882,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2020,1150.09482525061,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2021,1224.65314834578,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2022,1200.50815159856,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
