Year,Value,Units,Series
2000,704.756831146922,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2001,694.2318625092929,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2002,682.311477875916,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2003,713.2133719577951,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2004,704.2415258218409,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2005,740.556402359992,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2006,740.756106414977,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2007,741.032797601137,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2008,739.628425260454,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2009,737.002868759416,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2010,735.613715250955,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2011,736.926823228363,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2012,991.863859387616,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2013,996.0291885823581,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2014,1239.97628631159,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2015,1238.96184469031,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2016,1220.44100485228,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2017,1205.70388349515,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2018,1118.3160415004,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2019,1036.43549560533,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2020,1150.1727291201,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2021,1224.74651215979,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
2022,1200.85962562681,Watts per capita,Installed renewable energy-generating capacity (in watts per capita)
