Year,Value,Units,Series
1991,0.649634144481681,million tonnes,Carbon dioxide emissions from fuel combustion
1992,0.744483747398703,million tonnes,Carbon dioxide emissions from fuel combustion
1993,0.67218575402615,million tonnes,Carbon dioxide emissions from fuel combustion
1994,0.674637619839,million tonnes,Carbon dioxide emissions from fuel combustion
1995,0.6721524434764,million tonnes,Carbon dioxide emissions from fuel combustion
1996,0.7030326844335,million tonnes,Carbon dioxide emissions from fuel combustion
1997,0.69456920981705,million tonnes,Carbon dioxide emissions from fuel combustion
1998,0.71246999784605,million tonnes,Carbon dioxide emissions from fuel combustion
1999,0.751230389838801,million tonnes,Carbon dioxide emissions from fuel combustion
2000,0.80243466928115,million tonnes,Carbon dioxide emissions from fuel combustion
2001,0.9686409136,million tonnes,Carbon dioxide emissions from fuel combustion
2002,0.8679660099052,million tonnes,Carbon dioxide emissions from fuel combustion
2003,0.86260166043,million tonnes,Carbon dioxide emissions from fuel combustion
2004,0.873660853905,million tonnes,Carbon dioxide emissions from fuel combustion
2005,0.861135956725,million tonnes,Carbon dioxide emissions from fuel combustion
2006,0.8072381841,million tonnes,Carbon dioxide emissions from fuel combustion
2007,0.830285483365,million tonnes,Carbon dioxide emissions from fuel combustion
2008,0.761614112785,million tonnes,Carbon dioxide emissions from fuel combustion
2009,0.83575398112,million tonnes,Carbon dioxide emissions from fuel combustion
2010,0.8835445323,million tonnes,Carbon dioxide emissions from fuel combustion
2011,0.77399522424,million tonnes,Carbon dioxide emissions from fuel combustion
2012,0.870822707815,million tonnes,Carbon dioxide emissions from fuel combustion
2013,0.808483916232,million tonnes,Carbon dioxide emissions from fuel combustion
2014,0.849716660636,million tonnes,Carbon dioxide emissions from fuel combustion
2015,0.806052373556,million tonnes,Carbon dioxide emissions from fuel combustion
2016,0.83605807704,million tonnes,Carbon dioxide emissions from fuel combustion
2017,1.001444353881,million tonnes,Carbon dioxide emissions from fuel combustion
2018,1.107306905731,million tonnes,Carbon dioxide emissions from fuel combustion
2019,1.132443546626,million tonnes,Carbon dioxide emissions from fuel combustion
2020,1.1896239732705,million tonnes,Carbon dioxide emissions from fuel combustion
2021,1.211718906745,million tonnes,Carbon dioxide emissions from fuel combustion
