Year,Value,Units,Series
2000,2.77,pct.,Installed renewable energy-generating capacity (in watts per capita)
2001,2.56,pct.,Installed renewable energy-generating capacity (in watts per capita)
2002,3.4,pct.,Installed renewable energy-generating capacity (in watts per capita)
2003,3.11,pct.,Installed renewable energy-generating capacity (in watts per capita)
2004,3.42,pct.,Installed renewable energy-generating capacity (in watts per capita)
2005,3.84,pct.,Installed renewable energy-generating capacity (in watts per capita)
2006,4.3,pct.,Installed renewable energy-generating capacity (in watts per capita)
2007,4.54,pct.,Installed renewable energy-generating capacity (in watts per capita)
2008,4.51,pct.,Installed renewable energy-generating capacity (in watts per capita)
2009,5.12,pct.,Installed renewable energy-generating capacity (in watts per capita)
2010,3.38,pct.,Installed renewable energy-generating capacity (in watts per capita)
2011,5.0,pct.,Installed renewable energy-generating capacity (in watts per capita)
2012,4.67886430473242,pct.,Installed renewable energy-generating capacity (in watts per capita)
2013,5.66751627459578,pct.,Installed renewable energy-generating capacity (in watts per capita)
2014,7.01798135358697,pct.,Installed renewable energy-generating capacity (in watts per capita)
2015,8.57619532347439,pct.,Installed renewable energy-generating capacity (in watts per capita)
2016,7.21650988627583,pct.,Installed renewable energy-generating capacity (in watts per capita)
2017,8.6019408074778,pct.,Installed renewable energy-generating capacity (in watts per capita)
2018,8.01615721371945,pct.,Installed renewable energy-generating capacity (in watts per capita)
2019,7.92758304955724,pct.,Installed renewable energy-generating capacity (in watts per capita)
2020,7.98498436760728,pct.,Installed renewable energy-generating capacity (in watts per capita)
2021,8.15567887814746,pct.,Installed renewable energy-generating capacity (in watts per capita)
