Year,Value,Units,Series
1993,6.3,litres,Alcohol per capita consumption (aged 15 and older)
1994,6.3,litres,Alcohol per capita consumption (aged 15 and older)
1995,6.3,litres,Alcohol per capita consumption (aged 15 and older)
1996,6.7,litres,Alcohol per capita consumption (aged 15 and older)
1997,6.6,litres,Alcohol per capita consumption (aged 15 and older)
1998,6.6,litres,Alcohol per capita consumption (aged 15 and older)
1999,6.6,litres,Alcohol per capita consumption (aged 15 and older)
2000,6.8,litres,Alcohol per capita consumption (aged 15 and older)
2001,7.0,litres,Alcohol per capita consumption (aged 15 and older)
2002,7.1,litres,Alcohol per capita consumption (aged 15 and older)
2003,7.0,litres,Alcohol per capita consumption (aged 15 and older)
2004,6.8,litres,Alcohol per capita consumption (aged 15 and older)
2005,6.6,litres,Alcohol per capita consumption (aged 15 and older)
2006,6.9,litres,Alcohol per capita consumption (aged 15 and older)
2007,7.2,litres,Alcohol per capita consumption (aged 15 and older)
2008,7.0,litres,Alcohol per capita consumption (aged 15 and older)
2009,6.9,litres,Alcohol per capita consumption (aged 15 and older)
2010,6.7,litres,Alcohol per capita consumption (aged 15 and older)
2011,6.4,litres,Alcohol per capita consumption (aged 15 and older)
2012,6.6,litres,Alcohol per capita consumption (aged 15 and older)
2013,6.3,litres,Alcohol per capita consumption (aged 15 and older)
2014,6.3,litres,Alcohol per capita consumption (aged 15 and older)
2015,6.4,litres,Alcohol per capita consumption (aged 15 and older)
2016,6.3,litres,Alcohol per capita consumption (aged 15 and older)
2017,6.5,litres,Alcohol per capita consumption (aged 15 and older)
2018,6.4,litres,Alcohol per capita consumption (aged 15 and older)
2019,6.4,litres,Alcohol per capita consumption (aged 15 and older)
2020,6.5,litres,Alcohol per capita consumption (aged 15 and older)
2021,6.7,litres,Alcohol per capita consumption (aged 15 and older)
2022,6.5,litres,Alcohol per capita consumption (aged 15 and older)
