Year,Value,Units,Series
2009,1.0,In number,Persons
2009,3.64723904004668,In number,"pr. 100,000 employee"
2010,0.0,In number,Persons
2010,0.0,In number,"pr. 100,000 employee"
2011,0.0,In number,Persons
2011,0.0,In number,"pr. 100,000 employee"
2012,1.0,In number,Persons
2012,3.5988051966747,In number,"pr. 100,000 employee"
2013,1.0,In number,Persons
2013,3.64896916621055,In number,"pr. 100,000 employee"
2014,1.0,In number,Persons
2014,3.59776938298255,In number,"pr. 100,000 employee"
2015,0.0,In number,Persons
2015,0.0,In number,"pr. 100,000 employee"
2016,2.0,In number,Persons
2016,6.99863526612311,In number,"pr. 100,000 employee"
2017,0.0,In number,Persons
2017,0.0,In number,"pr. 100,000 employee"
2018,1.0,In number,Persons
2018,3.28180893308392,In number,"pr. 100,000 employee"
2019,1.0,In number,Persons
2019,3.2044092671516,In number,"pr. 100,000 employee"
2020,3.0,In number,Persons
2020,9.60338038989724,In number,"pr. 100,000 employee"
2021,0.0,In number,Persons
2021,0.0,In number,"pr. 100,000 employee"
