Year,Value,Units,Series
1998,56.614478501087,pct.,Labour share of GDP
1999,57.021736367103,pct.,Labour share of GDP
2000,57.110230012985,pct.,Labour share of GDP
2001,57.997038325722,pct.,Labour share of GDP
2002,60.262255997616,pct.,Labour share of GDP
2003,61.151369980696,pct.,Labour share of GDP
2004,61.089497929006,pct.,Labour share of GDP
2005,61.523737325879,pct.,Labour share of GDP
2006,58.678856876162,pct.,Labour share of GDP
2007,59.406733737012,pct.,Labour share of GDP
2008,61.294973096891,pct.,Labour share of GDP
2009,61.038760571619,pct.,Labour share of GDP
2010,58.824022814964,pct.,Labour share of GDP
2011,58.054205135067,pct.,Labour share of GDP
2012,57.686973220954,pct.,Labour share of GDP
2013,55.122613098587,pct.,Labour share of GDP
2014,53.784821581432,pct.,Labour share of GDP
2015,53.580874285384,pct.,Labour share of GDP
2016,51.836499772946,pct.,Labour share of GDP
2017,52.489708797073,pct.,Labour share of GDP
2018,54.044241810199,pct.,Labour share of GDP
2019,54.294409533034,pct.,Labour share of GDP
2020,56.235473834158,pct.,Labour share of GDP
2021,54.430412797326,pct.,Labour share of GDP
2022,53.013436768499,pct.,Labour share of GDP
1998,56.6144785010874,,
1999,57.0217363671031,,
2000,57.1102300129846,,
2001,57.997038325722,,
2002,60.2622559976159,,
2003,61.151369980696,,
2004,61.0894979290055,,
2005,61.5237373258789,,
2006,58.6788568761616,,
2007,59.406733737012,,
2008,61.2949730968906,,
2009,61.0387605716189,,
2010,58.8240228149639,,
2011,58.0542051350668,,
2012,57.6869732209538,,
2013,55.1226130985869,,
2014,53.7848215814317,,
2015,53.5808742853843,,
2016,51.8364997729457,,
2017,52.4897087970727,,
2018,54.0442418101993,,
2019,54.2944095330337,,
2020,56.2354738341581,,
2021,54.4304127973263,,
2022,53.0134367684989,,
