Year,Value,Units,Series
2011,100.0,pct.,Proportion of children under 5 years of age whose births have been registered with a civil authority
2012,100.0,pct.,Proportion of children under 5 years of age whose births have been registered with a civil authority
2013,100.0,pct.,Proportion of children under 5 years of age whose births have been registered with a civil authority
2014,100.0,pct.,Proportion of children under 5 years of age whose births have been registered with a civil authority
2015,100.0,pct.,Proportion of children under 5 years of age whose births have been registered with a civil authority
2016,100.0,pct.,Proportion of children under 5 years of age whose births have been registered with a civil authority
2017,100.0,pct.,Proportion of children under 5 years of age whose births have been registered with a civil authority
2018,100.0,pct.,Proportion of children under 5 years of age whose births have been registered with a civil authority
2019,100.0,pct.,Proportion of children under 5 years of age whose births have been registered with a civil authority
2020,100.0,pct.,Proportion of children under 5 years of age whose births have been registered with a civil authority
2021,100.0,pct.,Proportion of children under 5 years of age whose births have been registered with a civil authority
2022,100.0,pct.,Proportion of children under 5 years of age whose births have been registered with a civil authority
