Year,Series,indicator,Units,Value
2004,MF3,EN_MAT_DOMCMPT,TON,409.0415
2004,MF3,EN_MAT_DOMCMPC,TON,8.4823785577272
2004,MF3,EN_MAT_DOMCMPG,TON,39.9684877028757
2004,MF4,EN_MAT_DOMCMPT,TON,190.1006
2004,MF4,EN_MAT_DOMCMPC,TON,3.94215563274405
2004,MF4,EN_MAT_DOMCMPG,TON,18.5752142347642
2005,MF0,EN_MAT_DOMCMPT,TON,1201.5243
2005,MF0,EN_MAT_DOMCMPC,TON,24.9229778363186
2005,MF0,EN_MAT_DOMCMPG,TON,114.20248075278
2005,MF1,EN_MAT_DOMCMPT,TON,475.0525
2005,MF1,EN_MAT_DOMCMPC,TON,9.85391883342495
2005,MF1,EN_MAT_DOMCMPG,TON,45.1527896587777
2005,MF2,EN_MAT_DOMCMPT,TON,4.0854
2005,MF2,EN_MAT_DOMCMPC,TON,0.084742633713272
2005,MF2,EN_MAT_DOMCMPG,TON,0.388309096093527
2005,MF3,EN_MAT_DOMCMPT,TON,533.0565
2005,MF3,EN_MAT_DOMCMPC,TON,11.0570841846524
2005,MF3,EN_MAT_DOMCMPG,TON,50.6659538066724
2005,MF4,EN_MAT_DOMCMPT,TON,189.33
2005,MF4,EN_MAT_DOMCMPC,TON,3.92723425880791
2005,MF4,EN_MAT_DOMCMPG,TON,17.9954376960365
2006,MF0,EN_MAT_DOMCMPT,TON,1333.3352
2006,MF0,EN_MAT_DOMCMPC,TON,27.6677221887904
2006,MF0,EN_MAT_DOMCMPG,TON,111.289329594017
2006,MF1,EN_MAT_DOMCMPT,TON,547.2128
2006,MF1,EN_MAT_DOMCMPC,TON,11.3550828992965
2006,MF1,EN_MAT_DOMCMPG,TON,45.674145299145295
2006,MF2,EN_MAT_DOMCMPT,TON,2.5427
2006,MF2,EN_MAT_DOMCMPC,TON,0.052762964038928
2006,MF2,EN_MAT_DOMCMPG,TON,0.212231236645299
2006,MF3,EN_MAT_DOMCMPT,TON,621.2018
2006,MF3,EN_MAT_DOMCMPC,TON,12.8904110726069
