Year,Value
1995,4.6
1996,9.2
1997,15.9
1998,2.2
1999,17.8
2000,4.4
2001,8.6
2002,4.2
2003,8.4
2004,4.1
2005,12.4
2006,8.3
2007,14.5
2008,4.1
2009,6.2
2010,2.1
2011,2.1
2012,6.2
2013,12.5
2014,8.3
2015,2.0
2016,6.1
2017,4.0
2018,0.0
2019,1.9
2020,0.0
