Year,Position,Units,Series,Public/private,Value
2022,IC_GEN_CE,PCT,SL_DOM_TSPD,PRIVATE,17
2022,IC_GEN_CE,PCT,SL_DOM_TSPD,PUBLIC,59
2022,IC_GEN_BM,PCT,SL_DOM_TSPD,PRIVATE,18
2022,IC_GEN_BM,PCT,SL_DOM_TSPD,PUBLIC,40
