Year,Series,sex,age,Units,Value
2015,SL_TLF_UEM,,,PCT,2.9
2016,SL_TLF_UEM,,,PCT,3.2
2017,SL_TLF_UEM,,,PCT,2.5
2018,SL_TLF_UEM,,,PCT,1.5
2019,SL_TLF_UEM,,,PCT,0.9
2020,SL_TLF_UEM,,,PCT,1.5
2021,SL_TLF_UEM,,,PCT,1.3
2022,SL_TLF_UEM,,,PCT,1.9
2023,SL_TLF_UEM,,,PCT,1.5
2024,SL_TLF_UEM,,,PCT,1.4
2025,SL_TLF_UEM,,,PCT,1.0
2015,SL_TLF_UEM,,Age15-24,PCT,8.7
2016,SL_TLF_UEM,,Age15-24,PCT,9.6
2017,SL_TLF_UEM,,Age15-24,PCT,7.4
2018,SL_TLF_UEM,,Age15-24,PCT,4.5
2019,SL_TLF_UEM,,Age15-24,PCT,1.9
2020,SL_TLF_UEM,,Age15-24,PCT,3.5
2021,SL_TLF_UEM,,Age15-24,PCT,3.9
2022,SL_TLF_UEM,,Age15-24,PCT,8.8
2023,SL_TLF_UEM,,Age15-24,PCT,5.7
2024,SL_TLF_UEM,,Age15-24,PCT,4.7
2025,SL_TLF_UEM,,Age15-24,PCT,2.2
2015,SL_TLF_UEM,,Age25-54,PCT,1.8
2016,SL_TLF_UEM,,Age25-54,PCT,2.0
2017,SL_TLF_UEM,,Age25-54,PCT,1.7
2018,SL_TLF_UEM,,Age25-54,PCT,0.9
2019,SL_TLF_UEM,,Age25-54,PCT,0.7
2020,SL_TLF_UEM,,Age25-54,PCT,1.1
2021,SL_TLF_UEM,,Age25-54,PCT,0.8
2022,SL_TLF_UEM,,Age25-54,PCT,0.5
2023,SL_TLF_UEM,,Age25-54,PCT,0.8
2024,SL_TLF_UEM,,Age25-54,PCT,0.8
2025,SL_TLF_UEM,,Age25-54,PCT,0.9
2015,SL_TLF_UEM,,Age55-74,PCT,1.6
2016,SL_TLF_UEM,,Age55-74,PCT,1.8
2017,SL_TLF_UEM,,Age55-74,PCT,1.1
2018,SL_TLF_UEM,,Age55-74,PCT,0.8
2019,SL_TLF_UEM,,Age55-74,PCT,0.6
2020,SL_TLF_UEM,,Age55-74,PCT,0.9
2021,SL_TLF_UEM,,Age55-74,PCT,0.7
2022,SL_TLF_UEM,,Age55-74,PCT,0.4
2023,SL_TLF_UEM,,Age55-74,PCT,0.4
2024,SL_TLF_UEM,,Age55-74,PCT,0.5
2025,SL_TLF_UEM,,Age55-74,PCT,0.6
2015,SL_TLF_UEM,F,,PCT,2.7
2016,SL_TLF_UEM,F,,PCT,3.3
2017,SL_TLF_UEM,F,,PCT,2.7
2018,SL_TLF_UEM,F,,PCT,1.4
2019,SL_TLF_UEM,F,,PCT,0.9
2020,SL_TLF_UEM,F,,PCT,1.4
2021,SL_TLF_UEM,F,,PCT,1.1
2022,SL_TLF_UEM,F,,PCT,1.8
2023,SL_TLF_UEM,F,,PCT,1.5
2024,SL_TLF_UEM,F,,PCT,1.2
2025,SL_TLF_UEM,F,,PCT,0.9
2015,SL_TLF_UEM,F,Age15-24,PCT,7.7
2016,SL_TLF_UEM,F,Age15-24,PCT,9.3
2017,SL_TLF_UEM,F,Age15-24,PCT,7.1
2018,SL_TLF_UEM,F,Age15-24,PCT,3.0
2019,SL_TLF_UEM,F,Age15-24,PCT,1.9
2020,SL_TLF_UEM,F,Age15-24,PCT,2.9
2021,SL_TLF_UEM,F,Age15-24,PCT,3.5
2022,SL_TLF_UEM,F,Age15-24,PCT,8.2
2023,SL_TLF_UEM,F,Age15-24,PCT,6.2
2024,SL_TLF_UEM,F,Age15-24,PCT,4.8
2025,SL_TLF_UEM,F,Age15-24,PCT,2.2
2015,SL_TLF_UEM,F,Age25-54,PCT,1.7
2016,SL_TLF_UEM,F,Age25-54,PCT,2.1
2017,SL_TLF_UEM,F,Age25-54,PCT,2.0
2018,SL_TLF_UEM,F,Age25-54,PCT,1.2
2019,SL_TLF_UEM,F,Age25-54,PCT,0.8
2020,SL_TLF_UEM,F,Age25-54,PCT,1.3
