Value,Disaggregation combinations using this value,Number of indicators
BIOFUEL,1,1
HEATPUMPS,1,1
HYDRO,1,1
OCEAN,1,1
SOLAR,1,1
SOLIDWASTE,1,1
TOTAL,1,1
WIND,1,1
