Value,Disaggregation combinations using this value,Number of indicators
Eysturoyar region,19,2
Norðoya region,19,2
Sandoyar region,19,2
"Streymoyar region, north",19,2
"Streymoyar region, south",19,2
Suðuroyar region,19,2
Vága region,19,2
