Indicator,Disaggregation combinations using this value
#1-2-1,144
#1-a-2,4
#10-1-1,2
#10-2-1,18
#10-4-1,1
#15-a-1,1
#16-3-2,1
#16-9-1,1
#17-1-1,5
#17-1-2,1
#17-12-1,12
#17-13-1,14
#17-19-1,1
#17-2-1,2
#17-6-1,8
#5-3-1,2
#5-5-2,4
#7-2-1,8
#8-1-1,1
#8-2-1,1
#8-5-2,12
#8-6-1,9
#8-9-1,1
#9-2-1,1
#9-2-2,1
#9-3-1,1
#9-a-1,1
#9-b-1,1
#9-c-1,2
