"Year","Value"
"1998",56.6144785010874
"1999",57.0217363671031
"2000",57.1102300129846
"2001",57.997038325722
"2002",60.2622559976159
"2003",61.151369980696
"2004",61.0894979290055
"2005",61.5237373258789
"2006",58.6788568761616
"2007",59.406733737012
"2008",61.2949730968906
"2009",61.0387605716189
"2010",58.8240228149639
"2011",58.0542051350668
"2012",57.6869732209538
"2013",55.1226130985869
"2014",53.7848215814317
"2015",53.5808742853843
"2016",51.8364997729457
"2017",52.4897087970727
"2018",54.0442418101993
"2019",54.2944095330337
"2020",56.2354738341581
"2021",54.4304127973263
"2022",53.0134367684989
