"Year","Value"
"1998",15.2
"1999",15.5
"2000",15.8
"2001",14.4
"2002",15.3
"2003",12.6
"2004",17.3
"2005",17.4
"2006",17.1
"2007",17.3
"2008",17.0
"2009",13.7
"2010",13.4
"2011",13.2
"2012",20.3
"2013",12.9
"2014",11.8
"2015",11.2
"2016",21.4
"2017",17.0
"2018",16.2
"2019",12.6
"2020",15.9
