"Year","Units","material type","Value"
"2003","data.domesticmaterialconsumptionpercapita","data.metallicminerals",0.11
"2003","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",8.86
"2003","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",4.79
"2003","data.domesticmaterialconsumptionperunitofgdp","",123.77
"2003","data.domesticmaterialconsumptionperunitofgdp","data.biomass",57.19
"2003","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",0.51
"2003","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",42.88
"2003","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",23.19
"2003","","",
"2003","","data.biomass",
"2003","","data.metallicminerals",
"2003","","data.non-metallicminerals",
"2003","","data.fossilenergyandotherproducts",
"2004","data.domesticmaterialconsumption","",1180.28
"2004","data.domesticmaterialconsumption","data.biomass",536.07
"2004","data.domesticmaterialconsumption","data.metallicminerals",6.69
"2004","data.domesticmaterialconsumption","data.non-metallicminerals",409.04
"2004","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",228.48
"2004","data.domesticmaterialconsumptionpercapita","",24.48
"2004","data.domesticmaterialconsumptionpercapita","data.biomass",11.12
"2004","data.domesticmaterialconsumptionpercapita","data.metallicminerals",0.14
"2004","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",8.48
"2004","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",4.74
"2004","data.domesticmaterialconsumptionperunitofgdp","",114.22
"2004","data.domesticmaterialconsumptionperunitofgdp","data.biomass",51.88
"2004","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",0.65
"2004","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",39.59
"2004","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",22.11
"2004","","",
"2004","","data.biomass",
"2004","","data.metallicminerals",
"2004","","data.non-metallicminerals",
"2004","","data.fossilenergyandotherproducts",
"2005","data.domesticmaterialconsumption","",1237.51
"2005","data.domesticmaterialconsumption","data.biomass",475.05
"2005","data.domesticmaterialconsumption","data.metallicminerals",4.09
"2005","data.domesticmaterialconsumption","data.non-metallicminerals",533.06
"2005","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",225.32
"2005","data.domesticmaterialconsumptionpercapita","",25.67
"2005","data.domesticmaterialconsumptionpercapita","data.biomass",9.85
"2005","data.domesticmaterialconsumptionpercapita","data.metallicminerals",0.08
"2005","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",11.06
"2005","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",4.67
"2005","data.domesticmaterialconsumptionperunitofgdp","",117.27
"2005","data.domesticmaterialconsumptionperunitofgdp","data.biomass",45.02
"2005","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",0.39
"2005","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",50.51
"2005","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",21.35
"2005","","",
"2005","","data.biomass",
"2005","","data.metallicminerals",
"2005","","data.non-metallicminerals",
"2005","","data.fossilenergyandotherproducts",
"2006","data.domesticmaterialconsumption","",1407.43
"2006","data.domesticmaterialconsumption","data.biomass",547.21
"2006","data.domesticmaterialconsumption","data.metallicminerals",2.54
"2006","data.domesticmaterialconsumption","data.non-metallicminerals",621.20
"2006","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",236.47
"2006","data.domesticmaterialconsumptionpercapita","",29.21
"2006","data.domesticmaterialconsumptionpercapita","data.biomass",11.36
"2006","data.domesticmaterialconsumptionpercapita","data.metallicminerals",0.05
"2006","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",12.89
"2006","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",4.91
"2006","data.domesticmaterialconsumptionperunitofgdp","",117.30
"2006","data.domesticmaterialconsumptionperunitofgdp","data.biomass",45.61
"2006","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",0.21
"2006","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",51.77
"2006","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",19.71
"2006","","",
"2006","","data.biomass",
"2006","","data.metallicminerals",
"2006","","data.non-metallicminerals",
"2006","","data.fossilenergyandotherproducts",
"2007","data.domesticmaterialconsumption","",1662.55
"2007","data.domesticmaterialconsumption","data.biomass",510.96
"2007","data.domesticmaterialconsumption","data.metallicminerals",2.47
"2007","data.domesticmaterialconsumption","data.non-metallicminerals",894.19
"2007","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",254.93
"2007","data.domesticmaterialconsumptionpercapita","",34.43
"2007","data.domesticmaterialconsumptionpercapita","data.biomass",10.58
"2007","data.domesticmaterialconsumptionpercapita","data.metallicminerals",0.05
"2007","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",18.52
"2007","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",5.28
"2007","data.domesticmaterialconsumptionperunitofgdp","",130.57
"2007","data.domesticmaterialconsumptionperunitofgdp","data.biomass",40.13
"2007","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",0.19
"2007","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",70.23
"2007","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",20.02
"2007","","",
"2007","","data.biomass",
"2007","","data.metallicminerals",
"2007","","data.non-metallicminerals",
"2007","","data.fossilenergyandotherproducts",
"2008","data.domesticmaterialconsumption","",1561.20
"2008","data.domesticmaterialconsumption","data.biomass",456.17
"2008","data.domesticmaterialconsumption","data.metallicminerals",0.09
"2008","data.domesticmaterialconsumption","data.non-metallicminerals",891.26
"2008","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",213.68
"2008","data.domesticmaterialconsumptionpercapita","",32.22
"2008","data.domesticmaterialconsumptionpercapita","data.biomass",9.41
"2008","data.domesticmaterialconsumptionpercapita","data.metallicminerals",0.00
"2008","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",18.39
