"Year","Value"
"2005",13.18
"2006",12.17
"2007",11.92
"2008",10.87
"2009",11.05
"2010",10.39
"2011",9.13
"2012",9.49
"2013",9.62
"2014",10.08
"2015",10.15
"2016",10.41
"2017",11.30
"2018",10.55
"2019",11.09
"2020",11.17
"2021",10.53
"2022",10.44
