"Year","data.mainsource","source","Value"
"1990","";"",
"1990","data.fuelcombustion";"",0.668768428863456
"1990","data.fuelcombustion";"data.energyindustries",0.097196392675
"1990","data.fuelcombustion";"data.manufacturingindustriesandconstruction",0.06253914071565
"1990","data.fuelcombustion";"data.transportsector",0.104706602352806
"1990","data.fuelcombustion";"data.othersectors",0.40432629312
"1990","data.bunkers";"",
"1990","data.bunkers";"data.aviation",
"1990","data.bunkers";"data.navigation",
"1991","";"",0.649634144481681
"1991","data.fuelcombustion";"",0.649500646113681
"1991","data.fuelcombustion";"data.energyindustries",0.093720118275
"1991","data.fuelcombustion";"data.manufacturingindustriesandconstruction",0.07384905355125
"1991","data.fuelcombustion";"data.transportsector",0.102835449697431
"1991","data.fuelcombustion";"data.othersectors",0.37909602459
"1991","data.bunkers";"",0.000133498368
"1991","data.bunkers";"data.aviation",0.000133498368
"1991","data.bunkers";"data.navigation",
"1992","";"",0.744483747398702
"1992","data.fuelcombustion";"",0.639027662180703
"1992","data.fuelcombustion";"data.energyindustries",0.09330379587
"1992","data.fuelcombustion";"data.manufacturingindustriesandconstruction",0.043721001765
"1992","data.fuelcombustion";"data.transportsector",0.113847603845702
"1992","data.fuelcombustion";"data.othersectors",0.3881552607
"1992","data.bunkers";"",0.105456085218
"1992","data.bunkers";"data.aviation",0.000133498368
"1992","data.bunkers";"data.navigation",0.10532258685
"1993","";"",0.67218575402615
"1993","data.fuelcombustion";"",0.52929408321815
"1993","data.fuelcombustion";"data.energyindustries",0.08649468693
"1993","data.fuelcombustion";"data.manufacturingindustriesandconstruction",0.03969763452
"1993","data.fuelcombustion";"data.transportsector",0.09934865640815
"1993","data.fuelcombustion";"data.othersectors",0.30375310536
"1993","data.bunkers";"",0.142891670808
"1993","data.bunkers";"data.aviation",0.000133498368
"1993","data.bunkers";"data.navigation",0.14275817244
"1994","";"",0.674637619839
"1994","data.fuelcombustion";"",0.534333646221
"1994","data.fuelcombustion";"data.energyindustries",0.08234997124
"1994","data.fuelcombustion";"data.manufacturingindustriesandconstruction",0.038768034555
"1994","data.fuelcombustion";"data.transportsector",0.090851411336
"1994","data.fuelcombustion";"data.othersectors",0.32236422909
"1994","data.bunkers";"",0.140303973618
"1994","data.bunkers";"data.aviation",0.000133498368
"1994","data.bunkers";"data.navigation",0.14017047525
"1995","";"",0.6721524434764
"1995","data.fuelcombustion";"",0.5402720946784
"1995","data.fuelcombustion";"data.energyindustries",0.079484259
"1995","data.fuelcombustion";"data.manufacturingindustriesandconstruction",0.03220301898
"1995","data.fuelcombustion";"data.transportsector",0.0978491428384
"1995","data.fuelcombustion";"data.othersectors",0.33073567386
"1995","data.bunkers";"",0.131880348798
"1995","data.bunkers";"data.aviation",0.000133498368
"1995","data.bunkers";"data.navigation",0.13174685043
"1996","";"",0.7030326844335
"1996","data.fuelcombustion";"",0.5605491678375
"1996","data.fuelcombustion";"data.energyindustries",0.09414801387
"1996","data.fuelcombustion";"data.manufacturingindustriesandconstruction",0.038301975075
"1996","data.fuelcombustion";"data.transportsector",0.0931278083925
"1996","data.fuelcombustion";"data.othersectors",0.3349713705
"1996","data.bunkers";"",0.142483516596
"1996","data.bunkers";"data.aviation",0.000285037056
"1996","data.bunkers";"data.navigation",0.14219847954
"1997","";"",0.69456920981705
"1997","data.fuelcombustion";"",0.55615165653305
"1997","data.fuelcombustion";"data.energyindustries",0.0881624934
"1997","data.fuelcombustion";"data.manufacturingindustriesandconstruction",0.038049228105
"1997","data.fuelcombustion";"data.transportsector",0.10240660792805
"1997","data.fuelcombustion";"data.othersectors",0.3275333271
"1997","data.bunkers";"",0.138417553284
"1997","data.bunkers";"data.aviation",0.000294508224
"1997","data.bunkers";"data.navigation",0.13812304506
"1998","";"",0.71246999784605
"1998","data.fuelcombustion";"",0.59983566158405
"1998","data.fuelcombustion";"data.energyindustries",0.09893784747
"1998","data.fuelcombustion";"data.manufacturingindustriesandconstruction",0.0545321715
"1998","data.fuelcombustion";"data.transportsector",0.09563615414405
"1998","data.fuelcombustion";"data.othersectors",0.35072948847
"1998","data.bunkers";"",0.112634336262
"1998","data.bunkers";"data.aviation",0.000441912672
"1998","data.bunkers";"data.navigation",0.11219242359
"1999","";"",0.751230389838801
"1999","data.fuelcombustion";"",0.629143491564801
"1999","data.fuelcombustion";"data.energyindustries",0.101023648755
"1999","data.fuelcombustion";"data.manufacturingindustriesandconstruction",0.053016662445
"1999","data.fuelcombustion";"data.transportsector",0.0977985222848
"1999","data.fuelcombustion";"data.othersectors",0.377304658080001
"1999","data.bunkers";"",0.122086898274
"1999","data.bunkers";"data.aviation",0.000591797664
"1999","data.bunkers";"data.navigation",0.12149510061
"2000","";"",0.80243466928115
"2000","data.fuelcombustion";"",0.66579216419915
"2000","data.fuelcombustion";"data.energyindustries",0.119628294135
"2000","data.fuelcombustion";"data.manufacturingindustriesandconstruction",0.05983688826
"2000","data.fuelcombustion";"data.transportsector",0.09920080678415
"2000","data.fuelcombustion";"data.othersectors",0.38712617502
"2000","data.bunkers";"",0.136642505082
"2000","data.bunkers";"data.aviation",0.000875256192
"2000","data.bunkers";"data.navigation",0.13576724889
"2001","";"",0.9686409136
"2001","data.fuelcombustion";"",0.839860745188
"2001","data.fuelcombustion";"data.energyindustries",0.16376604616
"2001","data.fuelcombustion";"data.manufacturingindustriesandconstruction",0.06907568484
"2001","data.fuelcombustion";"data.transportsector",0.112697252658
"2001","data.fuelcombustion";"data.othersectors",0.49432176153
"2001","data.bunkers";"",0.128780168412
"2001","data.bunkers";"data.aviation",0.001476976032
"2001","data.bunkers";"data.navigation",0.12730319238
"2002","";"",0.8679660099052
"2002","data.fuelcombustion";"",0.7888216140052
"2002","data.fuelcombustion";"data.energyindustries",0.1272060898152
"2002","data.fuelcombustion";"data.manufacturingindustriesandconstruction",0.06820554825
"2002","data.fuelcombustion";"data.transportsector",0.11719925776
"2002","data.fuelcombustion";"data.othersectors",0.47621071818
"2002","data.bunkers";"",0.0791443959
"2002","data.bunkers";"data.aviation",0.0011500704
"2002","data.bunkers";"data.navigation",0.0779943255
"2003","";"",0.86260166043
"2003","data.fuelcombustion";"",0.792799701734
"2003","data.fuelcombustion";"data.energyindustries",0.133812020875
"2003","data.fuelcombustion";"data.manufacturingindustriesandconstruction",0.078875361255
"2003","data.fuelcombustion";"data.transportsector",0.112887523804
"2003","data.fuelcombustion";"data.othersectors",0.4672247958
"2003","data.bunkers";"",0.069801958696
"2003","data.bunkers";"data.aviation",0.001249442496
"2003","data.bunkers";"data.navigation",0.06864365508
