"Year","Value"
"1985",97.14
"1986",97.15
"1987",97.18
"1988",97.21
"1989",97.23
"1990",97.28
"1991",97.26
"1992",97.26
"1993",97.23
"1994",97.16
"1995",97.28
"1996",97.29
"1997",97.35
"1998",97.25
"1999",97.29
"2000",97.38
"2001",97.30
"2002",97.39
"2003",97.44
"2004",97.58
"2005",97.64
"2006",97.69
"2007",97.73
"2008",97.73
"2009",97.89
"2010",97.91
"2011",97.99
"2012",98.12
"2013",98.17
"2014",98.19
"2015",98.21
"2016",98.25
"2017",98.27
"2018",98.31
"2019",98.35
"2020",98.36
"2021",98.30
