Year,Units,Series,Value
2011,,,100.0
2012,,,100.0
2013,,,100.0
2014,,,100.0
2015,,,100.0
2016,,,100.0
2017,,,100.0
2018,,,100.0
2019,,,100.0
2020,,,100.0
2021,,,100.0
2022,,,100.0
2011,PCT,SG_REG_BRTH,100.0
2012,PCT,SG_REG_BRTH,100.0
2013,PCT,SG_REG_BRTH,100.0
2014,PCT,SG_REG_BRTH,100.0
2015,PCT,SG_REG_BRTH,100.0
2016,PCT,SG_REG_BRTH,100.0
2017,PCT,SG_REG_BRTH,100.0
2018,PCT,SG_REG_BRTH,100.0
2019,PCT,SG_REG_BRTH,100.0
2020,PCT,SG_REG_BRTH,100.0
2021,PCT,SG_REG_BRTH,100.0
2022,PCT,SG_REG_BRTH,100.0
