Year,Units,Series,Value
1985,In number,Proportion of the rural population who live within 2 km of an all-season road,97.138692850568
1986,In number,Proportion of the rural population who live within 2 km of an all-season road,97.148100007646
1987,In number,Proportion of the rural population who live within 2 km of an all-season road,97.182349813929
1988,In number,Proportion of the rural population who live within 2 km of an all-season road,97.212609088173
1989,In number,Proportion of the rural population who live within 2 km of an all-season road,97.228723206657
1990,In number,Proportion of the rural population who live within 2 km of an all-season road,97.279619444032
1991,In number,Proportion of the rural population who live within 2 km of an all-season road,97.264346190028
1992,In number,Proportion of the rural population who live within 2 km of an all-season road,97.263126017337
1993,In number,Proportion of the rural population who live within 2 km of an all-season road,97.230309531106
1994,In number,Proportion of the rural population who live within 2 km of an all-season road,97.160783067943
1995,In number,Proportion of the rural population who live within 2 km of an all-season road,97.276328821393
1996,In number,Proportion of the rural population who live within 2 km of an all-season road,97.290052356021
1997,In number,Proportion of the rural population who live within 2 km of an all-season road,97.354056419017
1998,In number,Proportion of the rural population who live within 2 km of an all-season road,97.250361794501
1999,In number,Proportion of the rural population who live within 2 km of an all-season road,97.291529875246
2000,In number,Proportion of the rural population who live within 2 km of an all-season road,97.377543945512
2001,In number,Proportion of the rural population who live within 2 km of an all-season road,97.300228998433
2002,In number,Proportion of the rural population who live within 2 km of an all-season road,97.393700787402
2003,In number,Proportion of the rural population who live within 2 km of an all-season road,97.435996896819
2004,In number,Proportion of the rural population who live within 2 km of an all-season road,97.577881320035
2005,In number,Proportion of the rural population who live within 2 km of an all-season road,97.641491285445
2006,In number,Proportion of the rural population who live within 2 km of an all-season road,97.691950823475
2007,In number,Proportion of the rural population who live within 2 km of an all-season road,97.731205537397
2008,In number,Proportion of the rural population who live within 2 km of an all-season road,97.727535338751
2009,In number,Proportion of the rural population who live within 2 km of an all-season road,97.885486223041
2010,In number,Proportion of the rural population who live within 2 km of an all-season road,97.911743055287
2011,In number,Proportion of the rural population who live within 2 km of an all-season road,97.985611510791
2012,In number,Proportion of the rural population who live within 2 km of an all-season road,98.12230497844
2013,In number,Proportion of the rural population who live within 2 km of an all-season road,98.172251453891
2014,In number,Proportion of the rural population who live within 2 km of an all-season road,98.190063248339
2015,In number,Proportion of the rural population who live within 2 km of an all-season road,98.213581512738
2016,In number,Proportion of the rural population who live within 2 km of an all-season road,98.249941273197
2017,In number,Proportion of the rural population who live within 2 km of an all-season road,98.27145182544
2018,In number,Proportion of the rural population who live within 2 km of an all-season road,98.310063324941
2019,In number,Proportion of the rural population who live within 2 km of an all-season road,98.354420846513
2020,In number,Proportion of the rural population who live within 2 km of an all-season road,98.355299795805
2021,In number,Proportion of the rural population who live within 2 km of an all-season road,98.303159129224
2023,In number,Proportion of the rural population who live within 2 km of an all-season road,98.369466535933
2022,In number,Proportion of the rural population who live within 2 km of an all-season road,98.383263718854
